Drug Name,Condition,Company,Is_Allowed
Mercaptopurine,Acute Lymphocytic and Chronic Myeloid Leukemia,MEDICO,0
Purinethol,Acute Lymphocytic Leukemia,MEDICO,0
3TC,AIDS,ACE,0
3TC,AIDS,MAN,0
3TC,AIDS,MOO,0
Abacavir,AIDS,MAN,0
Abacavir,AIDS,NEWERA,0
Abavavir,AIDS,MAN,0
Agenerase,AIDS,NEWERA,0
AL-721,AIDS,ACE,0
Amprenavir,AIDS,NEWERA,0
Aptivus,AIDS,ACE,0
Aptivus,AIDS,MAN,0
Atripla,AIDS,ACE,0
Atripla,AIDS,MAN,0
AZT,AIDS,ACE,0
AZT,AIDS,MAN,0
AZT,AIDS,MOO,0
AZT,AIDS,NEWERA,0
Biktarvy,AIDS,NEWERA,0
Combivir,AIDS,ACE,0
Combivir,AIDS,MAN,0
Coviracil,AIDS,ACE,0
Crixivan,AIDS,ACE,0
D4T,AIDS,ACE,0
D4T,AIDS,MAN,0
D4T,AIDS,MOO,0
D4T,AIDS,NEWERA,0
Darunavir,AIDS,ACE,0
DDC,AIDS,ACE,0
DDC,AIDS,MAN,0
DDC,AIDS,MOO,0
DDI,AIDS,MAN,0
DDI,AIDS,MOO,0
DDI,AIDS,ACE,0
Delavirdine,AIDS,ACE,0
Delavirdine,AIDS,MAN,0
Didanosine,AIDS,ACE,0
Didanosine,AIDS,MAN,0
Didanosine,AIDS,MAN,0
Disoproxil,AIDS,MAN,0
Efavirenz,AIDS,MAN,0
Emtricitabine,AIDS,ACE,0
Emtricitabine,AIDS,MAN,0
Emtricitabine,AIDS,MAN,0
Emtriva,AIDS,MAN,0
Emtrivia,AIDS,ACE,0
Enfuvirtide,AIDS,MAN,0
Epivir,AIDS,ACE,0
Epivir,AIDS,MAN,0
Epivir,AIDS,MAN,0
Epoetin Alfa,AIDS,MAN,0
Epogen,AIDS,MAN,0
Epogen,AIDS,MOO,0
Fortovase,AIDS,ACE,0
Foscarnet,AIDS,NEWERA,0
Foscarnet,AIDS,ACE,0
Foscavir,AIDS,ACE,0
Foscavir,AIDS,NEWERA,0
Fuzeon,AIDS,MAN,0
Hivid,AIDS,ACE,0
Hivid,AIDS,NEWERA,0
Iamivudine,AIDS,ACE,0
IDV,AIDS,ACE,0
Indinavir,AIDS,ACE,0
Indinavir,AIDS,MOO,0
Interferon,AIDS,ACE,0
Interferon,AIDS,MAN,0
Interferon,AIDS,MOO,0
Interferon Alfa-2A,Aids,ACE,0
Invirase,AIDS,ACE,0
Invirase,AIDS,MAN,0
Invirase,AIDS,MOO,0
Invirase,AIDS,NEWERA,0
Kaletra,AIDS,MAN,0
Lamivudine,AIDS,MAN,0
Lopinavir,AIDS,MAN,0
Nelfinavir,AIDS,ACE,0
Nelfinavir,AIDS,MAN,0
Nelfinavir,AIDS,MAN,0
Nelfinavir,AIDS,MOO,0
Nelfinavir,AIDS,NEWERA,0
Neupro,AIDS,MAN,0
Nevirapine,AIDS,ACE,0
Nevirapine,AIDS,MAN,0
Norvir,AIDS,ACE,0
Novir,AIDS,MAN,0
Prednisone > 10mg QD,AIDS,MAN,0
Prezista,AIDS,ACE,0
Procrit,AIDS,MOO,0
Rescriptor,AIDS,ACE,0
Rescriptor,AIDS,MAN,0
Retrovir,AIDS,ACE,0
Retrovir,AIDS,MOO,0
Ritonavir,AIDS,ACE,0
Ritonavir,AIDS,MAN,0
Roferon-A,AIDS,ACE,0
Rotigotin,AIDS,MAN,0
Saquinavir,AIDS,ACE,0
Saquinavir,AIDS,MAN,0
Saquinavir,AIDS,NEWERA,0
Stavudine,AIDS,ACE,0
Stavudine,AIDS,MAN,0
Stavudine,AIDS,MAN,0
Stavudine,AIDS,NEWERA,0
Sustiva,AIDS,MAN,0
Sustiva,AIDS,MOO,0
Tenofovir,AIDS,ACE,0
Tenofovir,AIDS,MAN,0
Thalidomide,AIDS,NEWERA,0
Thalomid,AIDS,NEWERA,0
Tipranavir,AIDS,ACE,0
Tipranivir,AIDS,MAN,0
Trizivir,AIDS,MAN,0
Truvada,AIDS,MAN,0
Varicept,AIDS,MAN,0
Videx,AIDS,ACE,0
Videx,AIDS,MAN,0
Videx,AIDS,MAN,0
Viracept,AIDS,ACE,0
Viracept,AIDS,MAN,0
Viracept,AIDS,NEWERA,0
Viramune,AIDS,ACE,0
Viramune,AIDS,MAN,0
Viread,AIDS,ACE,0
Viread,AIDS,MAN,0
Wellferon,AIDS,NEWERA,0
Zalcitabine,AIDS,ACE,0
Zalcitabine,AIDS,MAN,0
Zalcitabine,AIDS,NEWERA,0
ZDV,AIDS,ACE,0
Zerit,AIDS,ACE,0
Zerit,AIDS,MAN,0
Zerit,AIDS,MAN,0
Zerit,AIDS,NEWERA,0
Ziagen,AIDS,MAN,0
Ziagen,AIDS,NEWERA,0
Zidovudine,AIDS,ACE,0
Zidovudine,AIDS,MAN,0
Antabuse,Alcholism,MEDICO,0
Chlordiazepoxide,Alcholism,MEDICO,0
Librium,Alcholism,MEDICO,0
Acamprosate,Alcoholism,ACE,0
Antabus,Alcoholism,MOO,0
Antabuse,Alcoholism,ACE,0
Antabuse,Alcoholism,MOO,0
Campral,Alcoholism,ACE,0
Campral,Alcoholism,MOO,0
Depade,Alcoholism,ACE,0
Depade,Alcoholism,MOO,0
Disulfiram,Alcoholism,ACE,0
Nalmefene,Alcoholism,MOO,0
Naltrexone,Alcoholism,ACE,0
ReVia,Alcoholism,ACE,0
Vivitrol,Alcoholism,ACE,0
Vivitrol,Alcoholism,MOO,0
Revia,Alcoholism or drug abuse,MOO,0
